symbol,day,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,shares,stop_price,target_price,risk_per_share,holding_minutes,gross_pnl,commission,reg_fees,net_pnl,r_multiple,relative_volume,or_width,equity_before,equity_after
AMZN,2024-07-15 00:00:00-04:00,long,2024-07-15 10:05:00-04:00,195.27808,2024-07-15 11:04:00-04:00,195.04695,time,73,194.39999999999998,197.03424,0.8780800000000113,60,-16.872489999998464,0.73,0.1139074188,-17.716397418798465,-0.276387545098369,0.7219042153429743,1.4799999999999898,57789.44832033884,57771.73192292004
META,2024-07-15 00:00:00-04:00,long,2024-07-15 10:06:00-04:00,497.95910399999997,2024-07-15 11:05:00-04:00,501.22942800000004,time,29,494.385,505.1073119999999,3.574103999999977,60,94.83939600000213,0.29,0.11628522729600001,94.43311077270612,0.9110854537461959,1.031102310585405,5.909999999999968,57771.73192292004,57866.16503369274
QQQ,2024-07-16 00:00:00-04:00,short,2024-07-16 09:49:00-04:00,491.56329600000004,2024-07-16 10:05:00-04:00,489.6256599552001,target,29,492.63,489.4298880000001,1.0667039999999588,17,56.19144529919839,0.29,0.114042684672,55.78740261452639,1.803408947966839,0.7500261583768535,1.2799999999999727,57866.16503369274,57921.95243630727
META,2024-07-16 00:00:00-04:00,short,2024-07-16 09:50:00-04:00,493.072692,2024-07-16 09:58:00-04:00,498.11416599999995,stop,29,497.91499999999996,483.3880760000001,4.842307999999946,9,-146.20274599999817,0.29,0.11439286454400001,-146.60713886454215,-1.0440101252411025,0.8225687376169923,5.349999999999966,57921.95243630727,57775.34529744273
NVDA,2024-07-16 00:00:00-04:00,short,2024-07-16 09:57:00-04:00,126.99918000000001,2024-07-16 10:04:00-04:00,125.04753901600003,target,113,128.0,124.99754000000003,1.0008199999999903,8,220.5354311919977,1.1300000000000001,0.11480725872000001,219.29062393327771,1.9390349818748613,0.5515129897529398,1.6600000000000108,57775.34529744273,57994.63592137601
AMZN,2024-07-16 00:00:00-04:00,short,2024-07-16 10:02:00-04:00,193.69249200000002,2024-07-16 11:01:00-04:00,194.22766,time,74,195.305,190.46747600000003,1.6125079999999912,60,-39.602431999997805,0.74,0.114665955264,-40.45709795526181,-0.33904795507121416,1.1382393063951763,2.6299999999999955,57994.63592137601,57954.17882342075
SPY,2024-07-16 00:00:00-04:00,short,2024-07-16 10:03:00-04:00,549.43014,2024-07-16 10:39:00-04:00,550.34505,stop,26,550.125,548.0404200000002,0.6948599999999487,37,-23.78765999999905,0.26,0.11428146912,-24.161941469119053,-1.3373995353309043,0.8979731445606839,0.849999999999909,57954.17882342075,57930.01688195163
NVDA,2024-07-17 00:00:00-04:00,short,2024-07-17 09:46:00-04:00,120.291864,2024-07-17 09:48:00-04:00,121.063406,stop,120,121.015,118.84559200000001,0.7231359999999967,3,-92.5850399999996,1.2,0.11548018943999999,-93.9005201894396,-1.0820984364103021,1.015019171489265,1.2700000000000102,57930.01688195163,57836.11636176219
AMZN,2024-07-17 00:00:00-04:00,short,2024-07-17 09:48:00-04:00,188.87442,2024-07-17 10:26:00-04:00,186.15769330399993,target,76,190.27,186.08325999999994,1.3955800000000238,39,206.47122889600394,0.76,0.11483564735999999,205.59639324864395,1.9384167877441678,1.0626861934207816,2.6200000000000045,57836.11636176219,58041.712755010834
QQQ,2024-07-17 00:00:00-04:00,short,2024-07-17 09:52:00-04:00,481.83718799999997,2024-07-17 09:54:00-04:00,483.083156,stop,30,482.89,479.73156399999993,1.0528120000000172,3,-37.379040000000145,0.3,0.11564092512,-37.79468092512014,-1.1966264608533947,2.5898206627341622,1.6800000000000068,58041.712755010834,58003.91807408571
SPY,2024-07-17 00:00:00-04:00,long,2024-07-17 09:54:00-04:00,547.4889079999999,2024-07-17 10:00:00-04:00,546.286398,stop,26,546.505,549.4567239999998,0.9839079999999285,7,-31.26525999999899,0.26,0.11362757078399999,-31.63888757078299,-1.236782596730639,1.6090736372280525,1.349999999999909,58003.91807408571,57972.27918651493
META,2024-07-17 00:00:00-04:00,short,2024-07-17 10:04:00-04:00,467.61288,2024-07-17 11:03:00-04:00,467.23681999999997,time,30,472.69500000000005,457.44863999999995,5.082120000000032,60,11.281800000001567,0.3,0.1122270912,10.869572908801567,0.07129290472480972,1.6521060722860685,6.550000000000011,57972.27918651493,57983.148759423726
SPY,2024-07-18 00:00:00-04:00,short,2024-07-18 09:46:00-04:00,544.752012,2024-07-18 09:57:00-04:00,545.7081959999999,stop,26,545.49,543.2760360000001,0.737987999999973,12,-24.86078399999724,0.26,0.11330841849600001,-25.23409241849324,-1.3151189668340533,1.2366304048037968,0.900000000000091,57983.148759423726,57957.914667005236
QQQ,2024-07-18 00:00:00-04:00,short,2024-07-18 09:46:00-04:00,477.698844,2024-07-18 10:06:00-04:00,479.52173200000004,stop,30,479.33000000000004,474.43653199999994,1.6311560000000327,21,-54.686640000001034,0.3,0.11464772255999998,-55.10128772256103,-1.126017125739045,1.5747885505862924,2.680000000000007,57957.914667005236,57902.81337928268
AMZN,2024-07-18 00:00:00-04:00,short,2024-07-18 09:53:00-04:00,187.215084,2024-07-18 10:47:00-04:00,184.40898610079995,target,77,188.655,184.33525199999997,1.4399160000000109,55,216.06953823840308,0.77,0.11532449174399999,215.18421374665908,1.9408077822095309,0.7719926281548606,2.0500000000000114,57902.81337928268,58117.99759302934
META,2024-07-18 00:00:00-04:00,short,2024-07-18 10:28:00-04:00,465.583692,2024-07-18 11:27:00-04:00,463.305248,time,31,469.515,457.721076,3.9313080000000014,60,70.63176399999935,0.31,0.11546475561599999,70.20629924438335,0.5760727296014401,1.7053877976055538,6.850000000000023,58117.99759302934,58188.20389227372
NVDA,2024-07-18 00:00:00-04:00,short,2024-07-18 10:36:00-04:00,118.68250800000001,2024-07-18 11:35:00-04:00,117.39693999999999,time,122,120.545,114.95752400000003,1.862491999999989,60,156.8392960000032,1.22,0.11583412780800001,155.5034618721952,0.6843618871576542,1.0527857418516042,3.3100000000000023,58188.20389227372,58343.70735414592
NVDA,2024-07-19 00:00:00-04:00,long,2024-07-19 09:51:00-04:00,121.078412,2024-07-19 10:00:00-04:00,119.85204000000002,stop,120,119.9,123.43523599999999,1.1784119999999945,10,-147.16463999999803,1.2,0.11505795840000001,-148.47969795839802,-1.0499984863697835,0.6987490528847604,2.1799999999999926,58343.70735414592,58195.22765618752
AMZN,2024-07-19 00:00:00-04:00,long,2024-07-19 10:06:00-04:00,184.30369199999998,2024-07-19 11:05:00-04:00,184.346232,time,78,182.09390000000002,188.7232759999999,2.2097919999999647,60,3.3181200000001922,0.78,0.115032048768,2.423087951232192,0.014057988328314591,2.189642588795202,3.9677999999999827,58195.22765618752,58197.65074413875
META,2024-07-19 00:00:00-04:00,long,2024-07-19 10:17:00-04:00,482.43289599999997,2024-07-19 11:16:00-04:00,479.35818,time,30,477.21500000000003,492.86868799999985,5.217895999999939,60,-92.241479999999,0.3,0.11504596319999999,-92.656525963199,-0.5919149912991755,1.3062447864632523,9.109999999999957,58197.65074413875,58104.994218175554
SPY,2024-07-19 00:00:00-04:00,short,2024-07-19 10:27:00-04:00,538.754412,2024-07-19 11:26:00-04:00,537.91508,time,26,540.125,536.013236,1.370587999999998,60,21.82263200000034,0.26,0.112060917696,21.45057108230434,0.6019474595604327,1.2925942429646964,2.230000000000018,58104.994218175554,58126.44478925786
QQQ,2024-07-19 00:00:00-04:00,short,2024-07-19 10:28:00-04:00,472.720836,2024-07-19 11:27:00-04:00,472.268832,time,30,475.03499999999997,468.0925080000001,2.3141639999999484,60,13.560120000001348,0.3,0.11345300064,13.146666999361347,0.1893652452082284,1.690354028274102,3.3100000000000023,58126.44478925786,58139.59145625722
NVDA,2024-07-22 00:00:00-04:00,long,2024-07-22 09:46:00-04:00,122.53899599999998,2024-07-22 10:45:00-04:00,122.570952,time,118,120.875,125.86698799999995,1.6639959999999832,60,3.7708080000026314,1.18,0.11570697868799999,2.475101021314632,0.01260545841698088,0.9314691433925915,2.430000000000007,58139.59145625722,58142.06655727854
META,2024-07-22 00:00:00-04:00,long,2024-07-22 09:46:00-04:00,486.79464,2024-07-22 10:09:00-04:00,483.63147000000004,stop,29,483.825,492.73392000000007,2.9696400000000267,24,-91.73192999999941,0.29,0.11220250104,-92.13413250103942,-1.069839795988723,1.0258001104962273,5.350000000000023,58142.06655727854,58049.9324247775
SPY,2024-07-22 00:00:00-04:00,long,2024-07-22 09:47:00-04:00,541.41648,2024-07-22 09:57:00-04:00,540.08388,stop,26,540.3,543.64944,1.1164800000000241,11,-34.647599999998874,0.26,0.11233744704,-35.01993744703887,-1.2063992826024,1.5240588162317625,1.6399999999999864,58049.9324247775,58014.91248733046
QQQ,2024-07-22 00:00:00-04:00,long,2024-07-22 09:47:00-04:00,477.40088399999996,2024-07-22 10:03:00-04:00,475.41475800000006,stop,30,475.605,480.99265199999985,1.795883999999944,17,-59.58377999999698,0.3,0.11409954192000002,-59.99787954191697,-1.1136183172543224,1.3498945701285705,2.2900000000000205,58014.91248733046,57954.914607788545
AMZN,2024-07-23 00:00:00-04:00,long,2024-07-23 09:49:00-04:00,187.264876,2024-07-23 10:48:00-04:00,187.844832,time,77,185.13,191.53462799999997,2.1348759999999913,60,44.65661200000076,0.77,0.115712416512,43.77089958348876,0.26626991045101084,1.045373606667394,3.1399999999999864,57954.914607788545,57998.685507372036
SPY,2024-07-23 00:00:00-04:00,long,2024-07-23 09:50:00-04:00,543.077144,2024-07-23 10:45:00-04:00,541.823184,stop,26,542.04,545.151432,1.037144000000012,56,-32.60296000000017,0.26,0.112699222272,-32.975659222272164,-1.2228722197418984,0.7533222244910548,1.5,57998.685507372036,57965.70984814977
META,2024-07-23 00:00:00-04:00,short,2024-07-23 10:03:00-04:00,485.435748,2024-07-23 10:20:00-04:00,488.68539599999997,stop,29,488.49,479.32724399999995,3.0542520000000195,18,-94.2397919999994,0.29,0.112621093536,-94.64241309353541,-1.0685207003167907,0.6834981040925537,5.300000000000011,57965.70984814977,57871.06743505623
QQQ,2024-07-23 00:00:00-04:00,long,2024-07-23 10:22:00-04:00,478.631376,2024-07-23 10:38:00-04:00,476.87917200000004,stop,30,477.07,481.754128,1.5613759999999957,17,-52.56611999999848,0.3,0.11445100128,-52.98057100127848,-1.1310658248723908,0.7654577338960886,2.3799999999999955,57871.06743505623,57818.08686405495
AMZN,2024-07-24 00:00:00-04:00,long,2024-07-24 09:46:00-04:00,185.26397595999998,2024-07-24 10:38:00-04:00,184.031358,stop,78,184.105,187.58192787999997,1.1589759599999923,53,-96.1442008799977,0.78,0.114835567392,-97.0390364473897,-1.0734391857998322,0.8366945299036067,2.069999999999993,57818.08686405495,57721.04782760756
META,2024-07-24 00:00:00-04:00,short,2024-07-24 09:48:00-04:00,467.502924,2024-07-24 09:51:00-04:00,470.70320599999997,stop,30,470.515,461.47877200000005,3.012075999999979,4,-96.00845999999876,0.3,0.11220070176,-96.42066070175876,-1.0670454608024436,1.0774468229573122,5.2099999999999795,57721.04782760756,57624.6271669058
SPY,2024-07-24 00:00:00-04:00,short,2024-07-24 09:49:00-04:00,534.8059920000001,2024-07-24 10:13:00-04:00,533.1311431904002,target,26,535.75,532.9179760000002,0.9440079999999398,25,43.546069049597236,0.26,0.111239646336,43.174829403261235,1.759063865628257,1.504072998349511,1.400000000000091,57624.6271669058,57667.801996309056
QQQ,2024-07-24 00:00:00-04:00,short,2024-07-24 09:57:00-04:00,465.703644,2024-07-24 10:56:00-04:00,464.12557599999997,time,30,467.755,461.600932,2.0513559999999984,60,47.34204000000091,0.3,0.11176887456,46.93027112544091,0.7625894144400248,1.510681164007024,3.0299999999999727,57667.801996309056,57714.7322674345
META,2024-07-25 00:00:00-04:00,short,2024-07-25 09:47:00-04:00,452.41896,2024-07-25 10:09:00-04:00,444.2645147520001,target,31,456.585,444.0868800000001,4.166039999999953,23,252.7878026879983,0.31,0.11219990208,252.3656027859183,1.9540921105702387,0.8233078287091158,7.75,57714.7322674345,57967.097870220416
AMZN,2024-07-25 00:00:00-04:00,short,2024-07-25 09:50:00-04:00,180.057948,2024-07-25 10:49:00-04:00,180.752272,time,80,181.78750000000002,176.59884399999999,1.7295520000000124,60,-55.54591999999957,0.8,0.11523708672,-56.46115708671957,-0.40806200888090643,0.915172236219355,2.9749999999999943,57967.097870220416,57910.636713133696
QQQ,2024-07-25 00:00:00-04:00,short,2024-07-25 09:55:00-04:00,455.93755200000004,2024-07-25 10:08:00-04:00,452.54360106240006,target,31,457.725,452.3626560000001,1.7874479999999835,14,105.21247906559944,0.31,0.11307251289600001,104.78940655270344,1.891133860780293,1.3345049946791434,2.829999999999984,57910.636713133696,58015.426119686395
NVDA,2024-07-25 00:00:00-04:00,short,2024-07-25 09:57:00-04:00,110.38582800000002,2024-07-25 10:07:00-04:00,106.95024699360005,target,131,112.125,106.90748400000005,1.7391719999999822,11,450.06111183839624,1.31,0.11568434774400001,448.63542749065226,1.969154241084842,1.511039142401326,3.1899999999999977,58015.426119686395,58464.06154717705
SPY,2024-07-25 00:00:00-04:00,short,2024-07-25 09:58:00-04:00,527.18904,2024-07-25 10:36:00-04:00,528.546334,stop,27,528.335,524.8971199999999,1.1459600000000592,39,-36.64693800000066,0.27,0.11387283263999999,-37.03081083264066,-1.1968231982965842,1.0852960422119171,1.4700000000000273,58464.06154717705,58427.03073634441
NVDA,2024-07-26 00:00:00-04:00,short,2024-07-26 09:48:00-04:00,113.63452800000002,2024-07-26 10:47:00-04:00,112.25488399999999,time,128,115.015,110.87358400000005,1.3804719999999833,60,176.5944320000035,1.28,0.11636175667200001,175.1980702433315,0.9914977803070573,0.9651152164529511,1.990000000000009,58427.03073634441,58602.22880658774
QQQ,2024-07-26 00:00:00-04:00,short,2024-07-26 09:50:00-04:00,455.30780400000003,2024-07-26 09:59:00-04:00,457.07775799999996,stop,32,456.895,452.13341200000013,1.587195999999949,10,-56.63852799999768,0.32,0.116558797824,-57.075086797821676,-1.1237405225517105,1.122656242606323,2.0300000000000296,58602.22880658774,58545.153719789916
META,2024-07-26 00:00:00-04:00,short,2024-07-26 09:55:00-04:00,456.387372,2024-07-26 10:00:00-04:00,461.454508,stop,32,461.27,446.6221160000001,4.882627999999954,6,-162.14835199999834,0.32,0.116835167232,-162.58518716723034,-1.0405845169806087,1.0390696793945493,7.759999999999991,58545.153719789916,58382.56853262269
SPY,2024-07-26 00:00:00-04:00,long,2024-07-26 10:01:00-04:00,531.202396,2024-07-26 10:08:00-04:00,529.5381,stop,27,529.75,534.1071880000001,1.4523960000000216,8,-44.935992000000965,0.27,0.11438022959999998,-45.32037222960097,-1.1556987934420164,1.3941387046412066,1.6199999999998909,58382.56853262269,58337.24816039309
AMZN,2024-07-26 00:00:00-04:00,long,2024-07-26 10:01:00-04:00,181.80269199999998,2024-07-26 10:04:00-04:00,180.810147,stop,80,180.8825,183.64307599999995,0.9201919999999859,4,-79.40359999999828,0.8,0.11571849408,-80.31931849407827,-1.0910673872148353,0.6521229061800967,1.2849999999999966,58337.24816039309,58256.92884189901
SPY,2024-07-29 00:00:00-04:00,long,2024-07-29 09:46:00-04:00,534.01352,2024-07-29 09:50:00-04:00,532.6468560000001,stop,27,532.86,536.3205599999999,1.1535199999999577,5,-36.89992799999732,0.27,0.115051720896,-37.28497972089332,-1.1971402098342043,1.1124786150011203,1.4600000000000364,58256.92884189901,58219.64386217812
